day,rate
1,0.0012556
7,0.0012003
30,0.0012323
61,0.0015647
91,0.0019715
121,0.0023403
151,0.0027009
182,0.0030737
212,0.0033275
243,0.0035677
273,0.0038001
304,0.0040443
334,0.0042814
365,0.0045265
549,0.0034594
730,0.0034913
1095,0.0038607
1460,0.0045328
1825,0.0053754
2190,0.0063668
2555,0.0074591
2920,0.0085795
3285,0.0096812
3650,0.0106606
4015,0.0115243
4380,0.0123844
4745,0.0129789
5110,0.0135678
5475,0.0141564
5840,0.0144329
6205,0.0147032
6570,0.0149735
6935,0.0152437
7300,0.0155138
7665,0.0155719
8030,0.0156246
8395,0.0156774
8760,0.0157301
9125,0.0157829
10950,0.0157337
12775,0.0154457
14600,0.0151561
16425,0.0148665
18250,0.0145767
